Year,Province_ID,Province_Sale_ID,Fert_ID,Method_ID,Crop_Type,Fertilizer_Applied,Emissions,EcoDistrict
1990,AB,AB,1,1,Annual,0,0,622
1990,AB,AB,1,1,Annual,0,0,623
1990,AB,AB,1,1,Annual,0,0,625
1990,AB,AB,1,1,Annual,0,0,626
1990,AB,AB,1,1,Annual,0,0,629
1990,AB,AB,1,1,Annual,0,0,630
1990,AB,AB,1,1,Annual,0,0,631
1990,AB,AB,1,1,Annual,0,0,692
1990,AB,AB,1,1,Annual,81.12469837,12.99914797,583
1990,AB,AB,1,1,Annual,133.4361363,21.9020228,609
1990,AB,AB,1,1,Annual,275.9629706,43.77761907,619
1990,AB,AB,1,1,Annual,608.0647149,96.46085996,9607
1990,AB,AB,1,1,Annual,679.1413475,107.7361616,584
1990,AB,AB,1,1,Annual,699.9066904,111.0302894,650
1990,AB,AB,1,1,Annual,746.0595787,118.3517918,244
1990,AB,AB,1,1,Annual,1802.708158,290.432578,838
1990,AB,AB,1,1,Annual,1966.447878,322.1571013,1016
1990,AB,AB,1,1,Annual,2366.124774,375.3522032,611
1990,AB,AB,1,1,Annual,2565.07518,406.912869,589
1990,AB,AB,1,1,Annual,2920.116429,463.5004182,600
1990,AB,AB,1,1,Annual,3050.637574,487.3603437,612
1990,AB,AB,1,1,Annual,3727.822826,594.9181238,617
1990,AB,AB,1,1,Annual,3813.652554,625.9676541,836
1990,AB,AB,1,1,Annual,5201.492236,834.3370201,9609
1990,AB,AB,1,1,Annual,5284.936335,994.0569717,814
1990,AB,AB,1,1,Annual,6040.531807,963.5243706,616
1990,AB,AB,1,1,Annual,6355.978759,1141.597595,805
1990,AB,AB,1,1,Annual,7219.025653,1145.196236,679
1990,AB,AB,1,1,Annual,7546.724797,1208.763193,610
1990,AB,AB,1,1,Annual,7848.997898,1245.132415,618
1990,AB,AB,1,1,Annual,8042.827242,1315.712752,837
1990,AB,AB,1,1,Annual,8737.256489,1640.821254,833
1990,AB,AB,1,1,Annual,9581.87677,1538.483526,732
